,station,address,avg_fast,avg_slow,lat,lng,newAddress,volume
136,한사랑2차삼성 아파트,서울특별시 강서구 공항대로59길 64,0.2984395604395605,1.4031868131868128,37.5613619067,126.8139781759,"공항대로15길, 공항동, 강서구, 서울, 07599, 대한민국",829081
137,신월코아루1단지아파트,서울특별시 양천구 신월동 남부순환로56길 9,0.0,3.5640512820512824,37.531844,126.82983,"남부순환로56가길, 신월3동, 양천구, 서울, 07902, 대한민국",6346710
138,우당 아파트,서울특별시 양천구 신월동 506-1,0.0,0.011230769230769228,37.523063902,126.8478476951,"오목로, 신월2동, 양천구, 서울, 08032, 대한민국",423044
139,신정뉴타운두산위브아파트,서울특별시 양천구 신월로20길 7,6.2368131868131895,0.0,37.5129548999,126.827074251,"신월로, 신정3동, 양천구, 서울, 08038, 대한민국",99770
140,신월해주 아파트,서울특별시 양천구 신월동 217-8,0.0,1.6511978021978015,37.5270574059,126.8346395361,"신월1동, 양천구, 서울, 08038, 대한민국",0
141,서울남부출입국 외국인사무소,"서울특별시 강서구 마곡서1로 48 (마곡동, 서울남부출입국관리사무소)",34.484043956043934,0.0,37.561156350419,126.8211838432,"서울남부출입국외국인사무소, 마곡서1로, 공항동, 강서구, 서울, 07799, 대한민국",0
142,마곡 이웰메디파크,서울특별시 강서구 마곡중앙4로 74 (마곡동),9.435538461538458,0.0,37.557883163419,126.8348832420,"이웰메디파크, 마곡중앙4로, 발산1동, 강서구, 서울, 07811, 대한민국",0
143,강서수도사업소,서울특별시 양천구 목동동로 155 (신정동),10.22789010989011,0.0,37.495803083699,126.8906226905,"교회, 구로중앙로18길, 구로4동, 구로구, 서울, 08303, 대한민국",716882
144,등마루 공영주차장,"서울특별시 양천구 목동중앙북로8다길 지하 4 (목동, 목3동 등마루 공영주차장)",45.95316483516481,0.0,37.545968011794,126.8654878970,"등촌교회, 1, 목동중앙북로8다길, 목3동, 양천구, 서울, 07951, 대한민국",6295
145,한국방송광고진흥공사,"서울특별시 양천구 목동동로 233 (목동, 한국방송회관)",5.993010989010988,0.0,37.527003957169,126.8713198837,"목동방송회관, 목동동로, 목1동, 양천구, 서울, 08000, 대한민국",293164
146,신정동일하이빌아파트2단지,"서울특별시 양천구 신정로11길 20 (신정동, 동일하이빌아파트)",0.0,23.728241758241758,37.51191722058,126.8387340678,"101, 신정로11길, 동일하이빌1단지아파트, 신정3동, 양천구, 서울, 08032, 대한민국",81374
147,한국공항공사 고객전용주차장,"서울특별시 강서구 하늘길 78 (과해동, 한국공항공사)",0.08923076923076922,0.0,37.561810793,126.79866127,"한국공항공사이마트공항점, 하늘길, 공항동, 강서구, 서울, 07612, 대한민국",292562
148,강서경찰서 민원인주차장,"서울특별시 강서구 화곡로 308 (화곡동, 서울강서경찰서)",47.36604395604396,0.0,37.551278229,126.85001114,"서울 강서경찰서, 화곡로, 화곡6동, 강서구, 서울, 07689, 대한민국",803133
149,양천구청 지하주차장,"서울특별시 양천구 목동동로 105 (신정동, 양천구청)",6.86225274725275,0.0,37.517105,126.866302,"양천구청, 목동동로, 신정6동, 양천구, 서울, 08094, 대한민국",293164
150,은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1,32.48254945054943,19.422417582417573,37.4706639492,126.9645625253,"46, 인헌12길, 인헌동, 관악구, 서울, 08797, 대한민국",0
151,관악동작 견인차량 보관소,서울특별시 관악구 신사로 7,174.87334065934138,0.0,37.4846968754,126.904065304,"봉천로, 조원동, 관악구, 서울, 07074, 대한민국",698709
152,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22,20.671648351648358,40.717362637362655,37.49463472,126.9819657575,"103, 동작대로, 사당2동, 동작구, 서울, 06694, 대한민국",1161434
153,서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78,5.381846153846152,24.16701098901099,37.4783116175,126.945375416,"청룡길, 서울대입구 풍림아이원 2단지, 청룡동, 관악구, 서울, 08831, 대한민국",0
154,대우신림2차푸르지오,서울특별시 관악구 신림동 난곡로 66,21.84771428571428,0.0,37.4610661511,126.9198746198,"신림7동사무소, 난곡로, 관악산휴먼시아 1단지, 난향동, 관악구, 서울, 08847, 대한민국",106171
155,상도대림 아파트,서울특별시 동작구 상도동 상도로60길 20,0.0,5.359824175824175,37.4931852401,126.9532620463,"상도로66길, 상도1동, 동작구, 서울, 08730, 대한민국",263635
156,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62,9.102065934065934,12.117252747252747,37.4933922804,126.9278189979,"105, 62, 보라매로, 보라매동, 관악구, 서울, 08709, 대한민국",39179
157,상도파크자이,서울특별시 동작구 상도동 장승배기로 11,16.36705494505494,28.037802197802208,37.4995058611,126.9431253448,"신상도초등학교, 장승배기로, 상도2동, 동작구, 서울, 06921, 대한민국",24886
158,관악동작지사,서울특별시 동작구 동작대로 19,88.14404395604409,1.5623912087912077,37.47830829,126.9809567,"스타벅스, 동작대로3길, 사당1동, 동작구, 서울, 06693, 대한민국",1161434
159,흑석한강센트레빌,서울특별시 동작구 흑석동 흑석한강로 2,13.160813186813192,11.895091575091577,37.5051797465,126.9645145496,"101, 서달로12라길, 흑석동, 동작구, 서울, 06981, 대한민국",32685
160,신림서초 아파트,서울특별시 관악구 신림동 호암로16길 5,0.0,5.299043956043958,37.4640220022,126.9322465795,"호암로18가길, 삼성동, 관악구, 서울, 08821, 대한민국",321683
161,대방성원 아파트,서울특별시 동작구 대방동 여의대방로44길 9,5.453824175824176,11.714615384615385,37.509731742,126.9259166877,"서울신길초등학교, 16, 알마타길, 대림e편한세상2차아파트, 대방동, 서울, 07354, 대한민국",0
162,관악벽산블루밍,서울특별시 관악구 봉천동 은천로 93,35.516879120879146,0.0,37.4872820001,126.945246769,"101, 은천로, 벽산블루밍1차아파트, 은천동, 관악구, 서울, 08750, 대한민국",52470
163,숲속마을신동아파밀리에,서울특별시 동작구 신대방동 여의대방로10길 100,0.0,5.40142857142857,37.4915778003,126.9145364705,"101동, 여의대방로10길, 신대방2동, 동작구, 서울, 07435, 대한민국",1017673
164,신대방현대 아파트,서울특별시 동작구 신대방동 여의대방로 28,9.662813186813187,15.448219780219784,37.4952734403,126.911691628,"신대방현대아파트, 여의대방로, 신대방1동, 동작구, 서울, 07435, 대한민국",1017673
165,동작상떼빌 아파트,서울특별시 동작구 신대방동 신대방1가길 38,17.98481318681319,12.91545787545786,37.487899553,126.906937744,"101동, 대림로, 신대방1동, 동작구, 서울, 07070, 대한민국",116828
166,신림쌍용 아파트,서울특별시 관악구 신림동 미성길 122,4.747032967032968,16.152527472527485,37.472827882,126.9121747586,"103동, 미성길, 미성동, 관악구, 서울, 08553, 대한민국",0
167,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190,7.649428571428573,26.55670329670329,37.4909601775,126.9715998344,"101, 사당로27길, 사당3동, 동작구, 서울, 06989, 대한민국",90248
168,봉천건영6차아파트,서울특별시 관악구 봉천동 1701,0.0,14.359340659340658,37.47710349960,126.9519063577,"관악로5길, 갑을아파트, 청룡동, 관악구, 서울, 08832, 대한민국",385870
169,신동아 아파트,서울특별시 관악구 신림동 신림로 11길 151,0.0,0.6285714285714287,37.46433097545,126.9404753110,"대학길, 녹두거리, 대학동, 관악구, 서울, 08839, 대한민국",0
170,신림 주공2단지,서울특별시 관악구 신림동 광신길 86,0.0,22.523692307692343,37.46425,126.92662,"광신학원, 141, 광신길, 신림 주공아파트 2단지, 삼성동, 관악구, 서울, 08847, 대한민국",0
171,관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5,14.706857142857144,28.22571428571427,37.4872985885,126.9501540148,"106, 5, 은천로33길, 성현동, 관악구, 서울, 08729, 대한민국",52470
172,대우유로카운티,서울특별시 동작구 상도동 양녕로 287,0.0,7.401098901098904,37.5054012556,126.9493141059,"정동병원, 매봉로, 상도1동, 동작구, 서울, 06968, 대한민국",0
173,서울시여성가족재단,서울특별시 동작구 대방동 345-1,39.43714285714283,0.0,37.51285934813,126.9284670320,"노량진로, 대방동, 동작구, 서울, 06900, 대한민국",226631
174,신림동부센트레빌,서울특별시 관악구 신림동 미성3길 16,0.0,1.507032967032967,37.4729532457,126.9160634915,"미성3길, 미성동, 관악구, 서울, 08772, 대한민국",0
175,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8,3.352087912087913,2.13356043956044,37.5000083801,126.92637413,"세이화랑, 상도로, 대방동, 동작구, 서울, 07056, 대한민국",263635
176,청광 아파트,서울특별시 관악구 신림로3가길 45-24,0.0,1.2274725274725276,37.467697029,126.94203825,"청광아파트, 45-34, 신림로3가길, 녹두거리, 대학동, 신림동, 서울, 08816, 대한민국",437014
177,보라매아카데미타워 아파트,서울특별시 동작구 신대방동 보라매로5가길 16,0.0,8.556263736263736,37.4912743812,126.9240940365,"아카데미타워, 보라매로5가길, 보라매타운, 신대방2동, 동작구, 서울, 08708, 대한민국",39179
178,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37,2.529098901098901,7.482857142857141,37.5051697239,126.9330779992,"108, 상도로15마길, 상도2동, 동작구, 서울, 06953, 대한민국",263635
179,관악구 평생학습관,"서울특별시 관악구 남부순환로 1546 (신림동, 관악문화정보센터)",1.6900000000000002,0.0,37.484478416765,126.9336329584,"신림지구대, 남부순환로188길, 서원동, 관악구, 서울, 08755, 대한민국",6346710
180,빙수골 장미주차장,"서울특별시 동작구 국사봉16길 28 (상도동, 빙수골장미공영주차장)",6.25017582417582,0.0,37.493303809,126.93367320,"102, 국사봉16길, 상도3동, 동작구, 서울, 07043, 대한민국",0
