,station,address,avg_fast,avg_slow,lat,lng
76,문래힐스테이트,서울특별시 영등포구 문래동3가 문래로 82,0.0,7.145821428571431,37.51872,126.89107
77,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 의사당대로 127,13.217560439560446,19.854505494505485,37.520241356,126.9264085517
78,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66,6.107318681318685,12.898578754578756,37.5103939542,126.9001777987
79,대림어린이공원 공영주차장,서울특별시 영등포구 대림동 870,74.73758241758239,0.0,37.491084439,126.9033538022
80,문래자이아파트,서울특별시 영등포구 문래동3가 당산로4길 12,12.682725274725275,18.974945054945067,37.5162769232,126.8973918801
81,남서울직할(영등포)지사,서울특별시 영등포구 문래동3가 80,114.38351648351644,0.5827409733124019,37.52031651,126.892762
82,신길경남 아파트,서울특별시 영등포구 영등포로 351,2.7061538461538466,12.702087912087912,37.515558,126.918256
83,남서울직할,서울특별시 영등포구 여의도동 21,37.884956043956116,1.9816758241758246,37.52754543,126.930284
84,당산대우 아파트,서울특별시 영등포구 당산동2가 16-1,3.0655164835164825,14.702747252747256,37.5208860347,126.8928607252
85,국회의사당,서울특별시 영등포구 여의도동 1,0.0,16.284461538461567,37.5329136,126.9164036
86,바다마을아파트,서울특별시 영등포구 신길동 가마산로 540,0.0,2.9074120879120895,37.50276,126.91541
87,신길뉴타운한화꿈에그린,서울특별시 영등포구 신길동 신길로 119,0.0,7.282087912087914,37.5035107402,126.909709552
88,보라매벚꽃마을아파트,서울특별시 영등포구 신길동 대방천로14길 34,0.0,51.87584615384612,37.4959210357,126.9101936408
89,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7,6.9829010989011,10.294945054945051,37.505457,126.9153493
90,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1,5.394109890109888,11.912527472527469,37.5062341681,126.8951526953
91,양평한신아파트,서울특별시 영등포구 양평동5가 76,19.622307692307686,26.88026373626371,37.54007118621,126.8920208623
92,대림운동장 공영주차장,서울특별시 영등포구 대림동 780,117.48248351648371,0.0,37.499068524,126.8942003346
93,영등포레미안 아파트,서울특별시 영등포구 신길동 4945,8.409120879120877,16.39727472527471,37.5049810409,126.9095268262
94,문래금호어울림 아파트,서울특별시 영등포구 문래동3가 97,0.0,5.333274725274727,37.5189841833,126.8981392781
95,문래건영아파트,서울특별시 영등포구 문래동3가 93-1,0.0,2.082498168498168,37.51827643829,126.8925386789
96,당산근린지하공영주차장,서울특별시 영등포구 당산로27길 12 (당산동3가),19.829417582417587,0.0,37.52551222,126.89576941
97,서울영등포우체국,"서울특별시 영등포구 선유동2로 6 (당산동4가, 서울영등포우체국)",0.6540549450549449,0.0,37.52962614,126.8949565
98,영등포구민회관,"서울특별시 영등포구 국회대로 596 (당산동3가, 영등포구민회관)",1.7784395604395604,0.0,37.526142,126.900028
99,신정동일하이빌아파트1단지,"서울특별시 양천구 신정로11길 20 (신정동, 동일하이빌아파트)",0.0,21.085010989010982,37.5107833089,126.8401934228
100,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,19.04248351648352,8.581846153846152,37.5768026767,126.810285497
101,e편한세상염창,서울특별시 강서구 공항대로 583,0.0,12.720421978021976,37.54876208844,126.8703941578
102,신정이펜하우스 2단지,서울특별시 양천구 신정이펜2로 55,0.0,9.80435164835164,37.515688,126.830737
103,목동 현대하이페리온2아파트,서울특별시 양천구 목동 961,10.72538461538462,26.76358974358976,37.52438967643,126.8700630152
104,부영그린타운2차,서울특별시 양천구 목동 908-28,0.0,20.822956043956047,37.5363756323,126.8811258526
105,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,10.714967032967033,23.11028571428572,37.5646953177,126.8184339904
106,한국공항공사 서울,서울특별시 강서구 방화동 886,98.58498901099009,0.0,37.564959,126.794854
107,서울에너지공사 주차장,서울특별시 양천구 목동 900,128.34542307692303,0.0,37.5401156047,126.883763102
108,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,9.996857142857142,24.166978021977993,37.5685319217,126.819719606
109,방화동성아파트,서울특별시 강서구 방화동 금낭화로23길 8,1.7985714285714283,7.533699633699624,37.5794084299,126.812592887
110,목동힐스테이트아파트,서울특별시 양천구 신정동 중앙로36길 15,31.207846153846134,44.30175824175821,37.5207747014,126.855947273
111,마곡수명산파크1단지,서울특별시 강서구 내발산동 742,12.247186813186806,22.5942857142857,37.5535661829,126.8305340094
112,양천벽산블루밍 아파트,서울특별시 양천구 신월동 1026,1.9874065934065932,19.58624175824174,37.5245986953,126.8392967298
113,화곡초록 아파트,서울특별시 강서구 화곡동 1139,8.976945054945055,0.0,37.5452804761,126.8329698193
114,마곡수명산파크3단지,서울특별시 강서구 내발산동 751,1.516945054945055,7.825032967032967,37.5518565943,126.8247074755
115,마곡수명산파크8단지,서울특별시 강서구 수명로2길 108,0.0,13.091648351648356,37.55097481545,126.8285922819
116,마곡엠밸리6단지,서울특별시 강서구 마곡동 743,38.889912087912144,20.417582417582402,37.5657531052,126.8196221693
117,마곡엠밸리2단지,서울특별시 강서구 마곡동 마곡서1로 146,0.0,8.632358974358974,37.568824973,126.82141102
118,강서양천지사,서울특별시 양천구 신정동 319-1,87.63643956043958,2.157563579277866,37.52007602,126.8687447
119,마곡13단지 힐스테이트마스터,서울특별시 강서구 마곡동 748,25.329626373626397,35.04074725274724,37.557592,126.818291
120,마곡수명산파크5단지,서울특별시 강서구 내발산동 749,13.782175824175825,29.212362637362617,37.5515869245,126.8275825587
121,목동트윈빌,서울특별시 양천구 목동 905-22,1.1217582417582417,18.90745054945054,37.5321760813,126.8767427591
122,마곡엠밸리11단지아파트,서울특별시 강서구 마곡동 공항대로 124,0.0,10.902307692307707,37.558829,126.820478
123,마곡수명산파크6단지,서울특별시 강서구 내발산동 수명로2길 63,2.257274725274725,13.414021978021982,37.5498760484,126.8258211289
124,목동2차우성아파트,서울특별시 양천구 신정동 337,6.849868131868133,0.0,37.50749198974,126.8665833558
125,가로공원 공영주차장,서울특별시 양천구 신월동 263,77.18160439560432,0.0,37.5359873615,126.8290440925
126,방화동부센트레빌,서울특별시 강서구 방화동 875,3.458813186813187,0.0,37.5744012407,126.8140680039
127,마곡엠밸리8단지,서울특별시 강서구 마곡동 마곡서1로 81,19.391978021978016,0.0,37.564076,126.819977
128,신정숲속마을아파트,서울특별시 양천구 신정동 1324,14.53081318681317,0.0,37.506123778,126.83393067
129,푸른마을2단지,서울특별시 양천구 신정동 1281,7.749428571428569,21.01323076923076,37.5135083255,126.8360674722
130,마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22,5.098593406593404,16.426593406593415,37.5476645873,126.821919941
131,강서한강자이아파트,서울특별시 강서구 가양동 양천로55길 55,2.7597802197802204,5.803516483516485,37.5664707563,126.8481216583
132,미주진로아파트,"서울특별시 강서구 공항대로 351-21 (등촌동, 미주진로아파트)",0.0,13.390505494505494,37.56018,126.84705
133,목동삼성쉐르빌1,서울특별시 양천구 신정동 318-10,1.3384395604395607,0.6692527472527472,37.5229427348,126.8701243493
134,염창힐스테이트 아파트,서울특별시 강서구 염창동 306,0.0,10.88408791208791,37.5516160358,126.8733338342
135,한사랑2차삼성 아파트,서울특별시 강서구 공항대로59길 64,0.2984395604395605,1.4031868131868128,37.5613619067,126.8139781759
136,신월코아루1단지아파트,서울특별시 양천구 신월동 남부순환로56길 9,0.0,3.5640512820512824,37.531844,126.82983
137,우당 아파트,서울특별시 양천구 신월동 506-1,0.0,0.011230769230769228,37.523063902,126.8478476951
