,stat_id,node_id,distance,link
94,KP000699,1150141901.0,0.0968325527970875,"[1150408201, 1150408202, 1150408301, 1150408302, 1150434300, 1150434400]"
95,KP000700,1140033400.0,0.073065543928983,"[1140068400, 1140030601, 1140030602]"
96,KP000702,1150049700.0,0.0619531998680915,"[1150021001, 1150021002, 1150021101, 1150021102, 1150099900, 1150100000]"
97,KP000703,1140010300.0,0.0746563265766207,"[1140034400, 1140034600, 1140035401]"
98,KP000704,1140028000.0,0.0591171202625252,"[1140023401, 1140023402, 1140062500]"
99,KP000705,1150018300.0,0.2280103177362351,"[1150047400, 1150047500, 1150047600, 1150047700, 1150051200, 1150051300]"
100,KP000706,1140022300.0,0.0655119423406599,"[1140016104, 1140016203, 1140016204, 1140056700, 1140056800, 1140016103]"
101,KP000707,1140041100.0,0.1416905672144261,"[1140052001, 1140052002, 1140052101, 1140052102, 1140077200, 1140078200]"
102,KP000708,1150036600.0,0.2205880759927176,"[1150078900, 1150079000, 1150080200, 1150080300, 1150082700, 1150082800]"
103,KP000709,1150147200.0,0.2396664502961786,"[1150431900, 1150432000]"
104,KP000710,1200023700.0,0.1576702673162159,"[1200008100, 1200008200, 1200009604, 1200009701, 1200009801, 1200012301, 1200012401, 1200009503]"
105,KP000711,1200003900.0,0.1345075159079461,"[1200011702, 1200011802, 1200012101, 1200012202, 1200012502, 1200012601]"
106,KP000712,1190004500.0,0.1227731561201201,"[1190012600, 1190012700, 1190012800, 1190012900, 1190011800, 1190011900]"
107,KP000713,1190012901.0,0.1445687518992206,"[1190004105, 1190004106, 1190004206, 1190004207, 1190048000, 1190048100]"
108,KP000714,1210029501.0,0.112594095503282,"[1190050400, 1190050500, 1210021605, 1210021606, 1210021706, 1210021707]"
109,KP000715,1210027900.0,0.0620580120706259,"[1210017401, 1210017402, 1210017501, 1210017502, 1210050600, 1210050700]"
110,KP000716,1210038300.0,0.1086857224779909,"[1210024501, 1210024502, 1210056900]"
111,KP000717,1210005700.0,0.2192747671792515,"[1210018802, 1210018902, 1210019800, 1210019900, 1210020600, 1210020700, 1210021200, 1210021301]"
112,KP000718,1210006100.0,0.1367277572129132,"[1210021200, 1210021301, 1210022601, 1210022702, 1210022801, 1210022901]"
