lat,lng
36.6588657,127.0237249
36.65976683,127.0237251
36.66066796,127.0237254
36.66156909,127.0237256
36.66247021,127.0237259
36.66337134,127.0237262
36.66427247,127.0237264
36.66517359,127.0237267
36.66607472,127.0237269
36.66697585,127.0237272
36.66787697,127.0237275
36.6687781,127.0237277
36.66967922,127.023728
36.67058035,127.0237282
36.67148148,127.0237285
36.6723826,127.0237288
36.67328373,127.023729
36.67418485,127.0237293
36.67508598,127.0237295
36.6759871,127.0237298
36.67688823,127.0237301
36.67778935,127.0237303
36.67869048,127.0237306
36.6795916,127.0237308
36.68049272,127.0237311
36.68139385,127.0237314
36.68229497,127.0237316
36.6831961,127.0237319
36.65526098,127.0248422
36.65616211,127.0248425
36.65706324,127.0248428
36.65796436,127.0248431
36.65886549,127.0248433
36.65976662,127.0248436
36.66066775,127.0248439
36.66156887,127.0248441
36.66247,127.0248444
36.66337113,127.0248447
36.66427225,127.024845
36.66517338,127.0248452
36.66607451,127.0248455
36.66697563,127.0248458
36.66787676,127.0248461
36.66877788,127.0248463
36.66967901,127.0248466
36.67058014,127.0248469
36.67148126,127.0248471
36.67238239,127.0248474
36.67328351,127.0248477
36.67418464,127.024848
36.67508576,127.0248482
36.67598689,127.0248485
36.67688801,127.0248488
36.67778914,127.0248491
36.67869026,127.0248493
36.67959139,127.0248496
36.68049251,127.0248499
36.68139363,127.0248501
36.68229476,127.0248504
36.68319588,127.0248507
36.68409701,127.024851
36.65616188,127.0259609
36.65706301,127.0259612
36.65796414,127.0259615
36.65886527,127.0259618
36.65976639,127.0259621
36.66066752,127.0259624
36.66156865,127.0259627
36.66246977,127.0259629
36.6633709,127.0259632
36.66427203,127.0259635
36.66517315,127.0259638
36.66607428,127.0259641
36.66697541,127.0259644
36.66787653,127.0259646
36.66877766,127.0259649
36.66967879,127.0259652
36.67057991,127.0259655
36.67148104,127.0259658
36.67238216,127.0259661
36.67328329,127.0259664
36.67418441,127.0259666
36.67508554,127.0259669
36.67598666,127.0259672
36.67688779,127.0259675
36.67778891,127.0259678
36.67869004,127.0259681
36.67959116,127.0259684
36.68049229,127.0259686
36.68139341,127.0259689
36.68229453,127.0259692
36.68319566,127.0259695
36.68409678,127.0259698
36.6849979,127.0259701
36.68589903,127.0259704
36.68680015,127.0259706
36.65616165,127.0270794
36.65706278,127.0270797
36.6579639,127.02708
36.65886503,127.0270803
36.65976616,127.0270806
36.66066729,127.0270809
36.66156841,127.0270812
36.66246954,127.0270815
36.66337067,127.0270818
36.66427179,127.027082
36.66517292,127.0270823
36.66607405,127.0270826
36.66697517,127.0270829
36.6678763,127.0270832
36.66877742,127.0270835
36.66967855,127.0270838
36.67057968,127.0270841
36.6714808,127.0270844
36.67238193,127.0270847
36.67328305,127.027085
36.67418418,127.0270853
36.6750853,127.0270856
36.67598643,127.0270859
36.67688755,127.0270862
36.67778868,127.0270865
36.6786898,127.0270868
36.67959093,127.0270871
36.68049205,127.0270874
36.68139317,127.0270877
36.6822943,127.027088
36.68319542,127.0270883
36.68409655,127.0270886
36.68499767,127.0270889
36.68589879,127.0270892
36.68679992,127.0270895
36.68770104,127.0270898
36.65526027,127.0281975
36.6561614,127.0281978
36.65706253,127.0281981
36.65796366,127.0281984
36.65886479,127.0281987
36.65976591,127.028199
36.66066704,127.0281993
36.66156817,127.0281997
36.66246929,127.0282
36.66337042,127.0282003
36.66427155,127.0282006
36.66517267,127.0282009
36.6660738,127.0282012
36.66697493,127.0282015
36.66787605,127.0282018
36.66877718,127.0282021
36.6696783,127.0282025
36.67057943,127.0282028
36.67148056,127.0282031
36.67238168,127.0282034
36.67328281,127.0282037
36.67418393,127.028204
36.67508506,127.0282043
36.67598618,127.0282046
36.67688731,127.028205
36.67778843,127.0282053
36.67868956,127.0282056
36.67959068,127.0282059
36.6804918,127.0282062
36.68139293,127.0282065
36.68229405,127.0282068
36.68319518,127.0282071
36.6840963,127.0282074
36.68499742,127.0282078
