,stat_id,station,address,lat,lng,household,num_cars,num_rest,traffic,avg_fast,avg_slow,nearby_neighbor
355,KP002970,센트라스 2획지,서울특별시 성동구 왕십리로 410,37.56663445779,127.0241293381,134233,1457,226,12476.0,4.790153846153845,11.801153846153852,25
356,KP000289,강변테크노마트 주차장,"서울특별시 광진구 광나루로56길 85 (구의동, 테크노-마트21)",37.535175,127.095752,167949,613,85,6798.0,43.93695384615378,36.41472527472528,16
357,KP003337,e편한세상 금호파크힐스,서울특별시 성동구 금호동1가 금호로 140,37.554215,127.022719,134233,1457,110,576.0,18.66624175824175,24.7652307692308,19
358,SF001653,행당한진타운,서울특별시 성동구 행당동 행당로 82,37.554808881,127.02739971,134233,1457,84,25385.0,16.67368131868134,29.780560439560443,21
359,KP003006,센트라스 1획지,서울특별시 성동구 하왕십리동 843,37.565664,127.024945,134233,1457,254,12476.0,3.073604395604395,14.74675457875456,30
360,KP000791,금호자이1차,서울특별시 성동구 금호동2가 금호로 117,37.5530587557,127.0214343499,134233,1457,156,576.0,3.819890109890108,12.782131868131858,26
361,KP002996,센트라스 6획지,서울특별시 성동구 하왕십리동 674-1,37.565357,127.028545,134233,1457,484,31483.0,1.3072087912087909,16.450923076923075,24
362,KP002539,서울 새활용플라자,서울특별시 성동구 자동차시장길 49,37.5586867727,127.057852196,134233,1457,15,5685.0,50.53670329670325,0.0,1
363,KP000793,서울숲푸르지오 아파트,서울특별시 성동구 금호동4가 금호로 15,37.5438575154,127.0227262181,134233,1457,35,25968.0,22.63892307692307,0.0,12
364,ST112004,한양대학교,서울특별시 성동구 왕십리로 222 (사근동),37.555378,127.048498,134233,1457,2,2096.0,31.97629560439557,0.0,3
365,KP003021,센트라스 3획지,서울특별시 성동구 왕십리로 410,37.565621,127.025114,134233,1457,208,12476.0,4.175582417582419,14.13235164835165,30
366,KP002228,장로회신학대학교,서울특별시 광진구 광장로5길 25-1,37.5502004223,127.1037274139,167949,613,95,6501.0,24.07579120879118,0.0,8
