,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_fast
310,KP000104,217378,893,320,13233.0,6,16.93505494505495
311,KP002776,217378,893,7,27036.0,4,18.71158241758242
312,KP000990,217378,893,103,11624.0,4,4.282241758241758
313,KP000796,217378,893,99,12003.0,16,25.72931868131868
314,KP000590,138656,642,30,13588.0,8,0.0475164835164835
315,KP000994,217378,893,28,4147.0,8,4.464615384615384
316,KP002378,217378,893,81,65051.0,15,9.070197802197804
317,KP004146,217378,893,13,21557.0,17,9.626109890109896
318,KP004807,138656,642,390,19919.0,10,5.386065934065935
319,KP004803,138656,642,128,19919.0,22,19.690373626373635
320,KP004802,138656,642,23,13588.0,5,21.334593406593427
321,KP000324,143647,668,63,20210.0,5,48.82417582417583
322,KP000808,143647,668,93,31468.0,24,29.70397802197802
323,KP000286,214711,894,27,4214.0,8,93.68162637362629
324,KP001361,143647,668,249,67565.0,19,37.96764835164834
325,KP003813,143647,668,57,40643.0,13,6.999457875457875
326,KP000208,214711,894,260,9936.0,8,76.83782417582412
327,LH108900,214711,894,23,21583.0,29,1.82734065934066
328,KP000215,214711,894,326,18966.0,5,193.77367032967027
329,KP001002,143647,668,326,32849.0,10,1.4764835164835162
330,KP003146,143647,668,3,21690.0,3,8.41885714285714
331,KP000141,214711,894,47,18966.0,12,48.11021978021972
332,KP003995,143647,668,18,13056.0,9,5.517846153846154
333,KP000809,143647,668,87,15139.0,26,11.328505494505489
334,KP000194,179861,1076,40,2377.0,1,123.43155729984382
335,KP002287,179861,1076,173,45605.0,25,5.786021978021978
336,KP000816,111036,968,38,92173.0,5,56.16441758241758
337,KP002541,179861,1076,132,36495.0,6,84.80674725274723
338,KP002542,111036,968,484,5723.0,16,163.0546153846154
339,KP002381,179861,1076,128,14098.0,9,5.916241758241755
340,KP000814,111036,968,117,24324.0,10,9.254549450549458
341,KP002285,179861,1076,157,6031.0,22,8.107670329670327
342,KP000591,111036,968,179,10381.0,6,2.5469450549450547
343,KP002284,179861,1076,173,45605.0,25,15.916549450549446
344,KP000822,111036,968,335,11931.0,27,4.384395604395604
345,KP001369,179861,1076,1261,1739.0,7,7.225670329670329
346,KP002862,179861,1076,79,40643.0,9,9.363362637362636
347,KP000120,111036,968,494,5723.0,22,52.79599780219786
348,KP000823,111036,968,73,38922.0,17,15.277758241758246
349,KP002286,179861,1076,173,45605.0,25,21.94180219780218
350,NT100084,111036,968,419,11931.0,24,7.612351648351648
351,KP001859,179861,1076,650,95820.0,23,4.170307692307694
352,KP000285,111036,968,323,56585.0,13,72.32613186813191
353,KP000013,179861,1076,718,40390.0,33,40.91338571428572
354,KP000593,111036,968,495,5723.0,21,10.750439560439569
355,KP003286,179861,1076,114,7803.0,19,10.172571428571429
356,KP001372,111036,968,122,96174.0,17,6.526087912087912
357,KP001003,179861,1076,763,32324.0,27,2.3877120879120883
358,KP000815,179861,1076,210,90949.0,13,17.831274725274728
359,KP003814,111036,968,16,36746.0,6,12.078087912087916
360,KP000820,111036,968,95,38922.0,25,39.6221978021978
361,KP000825,179861,1076,526,95820.0,22,2.835076923076922
362,KP001860,179861,1076,147,90949.0,14,2.270197802197803
363,KP001861,179861,1076,351,23505.0,13,5.8526813186813165
364,SF001358,179861,1076,259,18583.0,13,10.012373626373629
365,KP000592,111036,968,284,11931.0,24,1.7688131868131869
366,KP003084,111036,968,11,28119.0,1,33.64893040293047
367,KP001004,179861,1076,379,33017.0,15,2.830395604395604
368,KP004931,179861,1076,243,45605.0,27,12.160329670329672
369,KP004809,179861,1076,282,45605.0,26,6.247252747252746
370,KP003068,63519,964,126,8783.0,13,43.27949450549452
371,KP001007,73494,606,801,25023.0,18,8.879252747252742
372,KP000014,63519,964,1023,17144.0,24,41.3703406593406
373,KP001373,73494,606,98,32849.0,14,14.167736263736256
374,KP000594,63519,964,413,13181.0,14,44.84760439560442
375,KP000596,63519,964,534,13181.0,15,6.284219780219779
376,KP000207,63519,964,842,35320.0,22,37.52151648351644
377,KP000595,63519,964,39,12418.0,4,9.546516483516486
