,LINK_ID,F_NODE,T_NODE
518,1060070801,1060037901,1060035800
519,1060070401,1060035700,1060037901
520,1060070301,1060037901,1060035700
521,1060071001,1060037901,1060038001
522,1060070901,1060038001,1060037901
523,1060070501,1060023001,1060037701
524,1060070601,1060037701,1060023001
525,1060069101,1060037701,1060005501
526,1060069201,1060005501,1060037701
527,1060068301,1060002200,1060037401
528,1060068401,1060037401,1060002200
529,1060068501,1060037401,1060037201
530,1060068601,1060037201,1060037401
531,1060068901,1060037401,1060037701
532,1060069001,1060037701,1060037401
533,1100173901,1100015100,1100085501
534,1100174001,1100085501,1100015100
535,1100174101,1100016300,1100085501
536,1100174201,1100085501,1100016300
537,1100174301,1100085501,1100085601
538,1100174401,1100085601,1100085501
539,1110088901,1110016900,1110037801
540,1110088801,1110037801,1110016900
541,1110089201,1110037801,1110017600
542,1110089301,1110017600,1110037801
543,1110089001,1110018200,1110037801
544,1110089101,1110037801,1110018200
545,1110089801,1110021701,1110038001
546,1110089901,1110038001,1110021701
547,1110089601,1110038001,1110021700
548,1110089701,1110021700,1110038001
549,1110090001,1110038001,1110038101
550,1110090101,1110038101,1110038001
551,1110090201,1110038101,1110038201
552,1110090301,1110038201,1110038101
553,1110090401,1110038201,1110021902
554,1110090501,1110021902,1110038201
555,1110089401,1110037901,1110034500
556,1110089501,1110034500,1110037901
557,1060068101,1050004100,1060010400
558,1060068201,1060010400,1050004100
559,1240228901,1240093601,1240094001
560,1240228801,1240094001,1240093601
561,1240228001,1240093601,1240093401
562,1240228101,1240093401,1240093601
563,1240227701,1240093401,1240093301
564,1240227601,1240093301,1240093401
565,1240228201,1240093401,2270207901
566,1240228301,2270207901,1240093401
567,1240227401,1240093301,1240029900
568,1240227501,1240029900,1240093301
569,1240227801,1240093301,1240093501
570,1240227901,1240093501,1240093301
571,1240228601,1240093501,1240093801
572,1240228701,1240093801,1240093501
573,1240228401,1240093501,1240093701
574,1240228501,1240093701,1240093501
575,1240229201,1240093801,1240093901
576,1240229001,1240093801,1240093701
577,1240229101,1240093701,1240093801
578,1240229301,1240093901,1240093801
579,1240227001,1240026601,1240093201
580,1240227101,1240093201,1240026601
581,1240227201,1240093201,1240026801
582,1240227301,1240026801,1240093201
583,1240226801,1240093201,1240093101
584,1240226901,1240093101,1240093201
585,1230435501,1230188001,1230187901
586,1230435601,1230187901,1230188001
587,1230435301,1230187100,1230187901
588,1230435701,1230187901,2040079500
589,1230436001,2040079500,1230188001
590,1230435401,1230188001,1230187100
591,1230435801,1230113400,1230188001
592,1230435901,1230188001,1230113400
593,1230435101,1230187901,1230187801
594,1230435201,1230187801,1230187901
595,1230434901,1230187801,1230187701
596,1230435001,1230187701,1230187801
597,1230434701,1230187601,1230187701
598,1230434801,1230187701,1230187601
599,1050060401,1050037501,1050012102
600,1050060301,1050012102,1050037501
601,1050060101,1050037401,1050036000
602,1050060201,1050036000,1050037401
603,1230434501,1230124300,1230187501
604,1230434601,1230187501,1230124300
605,1120065301,1120027400,1120030201
606,1120065401,1120030201,1120027400
607,1060067901,1060010200,1060037101
608,1060068001,1060037101,1060010200
609,1060067701,1060037101,1060009800
610,1060067801,1060009800,1060037101
611,1060067501,1060010600,1060037001
612,1060067601,1060037001,1060010600
613,1060067101,1060037001,1060009600
614,1060067201,1060009500,1060037001
615,1060067301,1060037001,1060037101
616,1060067401,1060037101,1060037001
617,1160276901,1160030500,1160119801
618,1020057001,1020016800,1020041501
619,1020056901,1020041501,1020016800
620,1020057301,1020041501,1020041401
621,1020057401,1020041401,1020041501
622,1020057101,1020041401,1020041301
623,1020057201,1020041301,1020041401
624,1160277001,1160119801,1160030500
625,1160277101,1160119801,1160119901
626,1160277201,1160119901,1160119801
627,1160277501,1160119901,1160030900
628,1160277601,1160030900,1160119901
629,1160277401,1160034300,1160119801
630,1160277301,1160119801,1160034300
631,1170044201,1170019000,1160119701
632,1160276601,1160119701,1170018600
633,1170044401,1160119701,1170017600
634,1160276801,1170017600,1160119701
635,1160276701,1170016800,1170017600
636,1140279401,1140036100,1140042100
637,1140279501,1140042100,1140109201
638,1140280001,1180072200,1140109301
639,1170044301,1170016800,1170016600
640,1140279901,1140109301,1180072200
641,1140279801,1140109301,1140109201
642,1140279701,1140109201,1140109301
643,1140279601,1140109201,1140042100
644,1140279201,1140010900,1140109201
645,1140279301,1140109201,1140010900
646,1180132101,1180073801,1180029700
647,1060002401,1060014100,1060014800
648,1060002402,1060014800,1060015100
