,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_slow
240,KP000579,185712,757,233,11237.0,27,7.455659340659341
241,KP002429,168219,662,186,4856.0,20,39.17770329670324
242,KP002851,185712,757,0,8341.0,5,19.078571428571426
243,KP000790,185712,757,27,12010.0,9,14.13723076923077
244,KP003885,185712,757,238,17736.0,29,15.191098901098902
245,KP000789,185712,757,78,12010.0,15,4.1511538461538455
246,KP000583,134233,1457,240,14429.0,17,18.838516483516475
247,KP000582,167949,613,218,20573.0,15,20.68880219780219
248,KP000216,167949,613,271,5540.0,21,49.658681318681424
249,KP000792,134233,1457,24,94523.0,21,16.60374725274727
250,KP000581,167949,613,59,14919.0,4,33.652857142857144
251,KP002970,134233,1457,226,12476.0,25,11.801153846153852
252,KP000289,167949,613,85,6798.0,16,36.41472527472528
253,KP003337,134233,1457,110,576.0,19,24.7652307692308
254,SF001653,134233,1457,84,25385.0,21,29.780560439560443
255,KP003006,134233,1457,254,12476.0,30,14.74675457875456
256,KP000791,134233,1457,156,576.0,26,12.782131868131858
257,KP002996,134233,1457,484,31483.0,24,16.450923076923075
258,KP003021,134233,1457,208,12476.0,30,14.13235164835165
259,KP003998,167949,613,135,12268.0,23,5.425059340659338
260,KP000015,134233,1457,246,4126.0,14,1.6287095761381456
261,KP000983,167949,613,32,19325.0,5,7.4261758241758224
262,KP000794,167949,613,196,5290.0,10,0.7445274725274724
263,KP001850,134233,1457,374,14429.0,30,6.957802197802197
264,KP001352,167949,613,193,5540.0,23,6.317472527472526
265,KP002622,138656,642,292,3939.0,21,9.40417582417582
266,KP000805,217378,893,68,11624.0,14,31.62088644688649
267,KP000999,138656,642,45,13233.0,11,39.66796703296704
268,KP002380,138656,642,29,16557.0,25,12.020000000000016
269,KP002967,217378,893,94,53080.0,7,37.98307692307694
270,KP001357,217378,893,671,6751.0,15,3.1712087912087887
271,KP000589,217378,893,120,17815.0,17,10.503846153846156
272,KP000801,138656,642,52,10320.0,14,19.11762637362637
273,KP001000,217378,893,93,5734.0,2,13.697357142857138
274,SF001349,138656,642,50,53080.0,19,22.515384615384622
275,KP000800,217378,893,117,16189.0,11,inf
276,KP000586,138656,642,90,6838.0,11,8.710483516483517
277,KP000803,138656,642,165,41527.0,4,8.823208791208787
278,KP000807,217378,893,19,21906.0,18,11.604010989010984
279,KP002990,217378,893,172,30086.0,17,11.864296703296707
280,KP000804,217378,893,176,24806.0,11,9.134120879120877
281,RE000059,217378,893,100,14709.0,13,12.628791208791217
282,KP000799,138656,642,57,12681.0,11,16.299461538461546
283,KP000986,217378,893,151,17815.0,11,16.448153846153847
284,KP000988,138656,642,186,10320.0,15,5.243824175824175
285,KP001852,217378,893,353,5212.0,19,12.410329670329686
286,KP001356,217378,893,23,12681.0,8,24.13538461538465
287,KP000984,217378,893,419,68487.0,7,0.0385714285714285
288,KP000798,217378,893,251,9205.0,13,34.60373626373626
289,KP000584,138656,642,57,12681.0,6,20.42692307692308
290,KP002682,217378,893,190,17815.0,13,10.389230769230773
291,KP002951,217378,893,27,21906.0,22,7.724483516483526
292,KP000993,217378,893,33,5734.0,5,3.962428571428571
293,KP001854,217378,893,66,25009.0,11,10.682637362637369
294,KP002674,217378,893,22,21906.0,20,9.560000000000004
295,KP000987,138656,642,247,19919.0,15,0.4256703296703296
296,KP000806,138656,642,90,13588.0,9,24.27643956043955
297,KP000587,138656,642,112,19919.0,8,6.649912087912091
298,KP002764,217378,893,165,17815.0,17,6.113846153846154
299,KP000104,217378,893,320,13233.0,6,1.454494505494505
300,KP000989,138656,642,140,53080.0,16,6.589065934065935
301,KP002776,217378,893,7,27036.0,4,16.78483516483517
302,KP002379,138656,642,110,53080.0,20,4.908131868131869
303,KP003129,138656,642,178,19919.0,7,7.585208791208786
304,KP001353,217378,893,201,9205.0,14,1.9632967032967024
305,KP000996,138656,642,49,16557.0,21,3.199439560439561
306,KP001360,138656,642,302,19919.0,17,0.0410989010989011
307,KP001354,217378,893,390,68487.0,7,1.4046153846153844
308,KP001851,217378,893,281,17109.0,8,0.4474725274725275
309,KP002683,217378,893,601,6751.0,16,0.0142857142857142
310,KP000990,217378,893,103,11624.0,4,4.424769230769231
311,KP000588,138656,642,170,19919.0,17,2.9405714285714297
312,KP000590,138656,642,30,13588.0,8,1.2667472527472527
313,KP000997,138656,642,213,16583.0,17,0.3673186813186813
314,KP001358,138656,642,189,6838.0,14,0.1212087912087912
315,KP000994,217378,893,28,4147.0,8,1.3475274725274728
316,KP002378,217378,893,81,65051.0,15,1.942967032967032
317,KP001856,217378,893,21,4147.0,5,0.047032967032967
318,KP000797,217378,893,309,9205.0,13,7.643263736263735
319,KP000808,143647,668,93,31468.0,24,27.39092307692309
320,KP003136,214711,894,120,8667.0,16,8.41082417582418
321,KP001857,143647,668,178,5911.0,10,5.614432234432236
322,KP001361,143647,668,249,67565.0,19,18.698901098901096
323,KP003601,143647,668,340,67565.0,13,20.989113553113555
324,KP002765,143647,668,118,10984.0,12,5.627032967032966
325,LH108900,214711,894,23,21583.0,29,10.869560439560436
326,KP001002,143647,668,326,32849.0,10,10.728681318681318
327,KP003997,214711,894,137,8667.0,15,9.750212454212464
328,KP000141,214711,894,47,18966.0,12,1.5831355311355306
329,KP003996,214711,894,332,18966.0,1,2.843406593406594
